date,mentions,z_score,anomaly
2026-03-02,3,-0.357,False
2026-03-03,3,-0.357,False
2026-03-04,2,-0.3629,False
2026-03-05,8,-0.3274,False
2026-03-06,5,-0.3452,False
2026-03-07,6,-0.3392,False
2026-03-08,6,-0.3392,False
2026-03-09,8,-0.3274,False
2026-03-10,9,-0.3215,False
2026-03-11,6,-0.3392,False
2026-03-13,7,-0.3333,False
2026-03-14,1,-0.3688,False
2026-03-15,3,-0.357,False
2026-03-16,1,-0.3688,False
2026-03-17,3,-0.357,False
2026-03-18,2,-0.3629,False
2026-03-19,11,-0.3097,False
2026-03-20,8,-0.3274,False
2026-03-21,5,-0.3452,False
2026-03-22,2,-0.3629,False
2026-03-23,52,-0.0674,False
2026-03-24,5,-0.3452,False
2026-03-25,5,-0.3452,False
2026-03-26,8,-0.3274,False
2026-03-27,5,-0.3452,False
2026-03-28,3,-0.357,False
2026-03-29,8,-0.3274,False
2026-03-30,10,-0.3156,False
2026-03-31,19,-0.2624,False
2026-04-01,10,-0.3156,False
2026-04-02,10,-0.3156,False
2026-04-03,15,-0.2861,False
2026-04-04,8,-0.3274,False
2026-04-05,3,-0.357,False
2026-04-06,5,-0.3452,False
2026-04-07,11,-0.3097,False
2026-04-08,5,-0.3452,False
2026-04-09,7,-0.3333,False
2026-04-10,5,-0.3452,False
2026-04-11,80,0.098,False
2026-04-12,202,0.8189,False
2026-04-13,73,0.0567,False
2026-04-14,12,-0.3038,False
2026-04-15,17,-0.2742,False
2026-04-16,34,-0.1738,False
2026-04-17,18,-0.2683,False
2026-04-18,18,-0.2683,False
2026-04-19,19,-0.2624,False
2026-04-20,9,-0.3215,False
2026-04-21,13,-0.2979,False
2026-04-22,9,-0.3215,False
2026-04-23,8,-0.3274,False
2026-04-24,20,-0.2565,False
2026-04-25,11,-0.3097,False
2026-04-26,6,-0.3392,False
2026-04-27,5,-0.3452,False
2026-04-28,22,-0.2447,False
2026-04-29,21,-0.2506,False
2026-04-30,13,-0.2979,False
2026-05-01,9,-0.3215,False
2026-05-02,13,-0.2979,False
2026-05-03,11,-0.3097,False
2026-05-04,8,-0.3274,False
2026-05-05,25,-0.227,False
2026-05-06,37,-0.1561,False
2026-05-07,25,-0.227,False
2026-05-08,39,-0.1442,False
2026-05-09,110,0.2753,False
2026-05-10,471,2.4085,True
2026-05-11,150,0.5117,False
2026-05-12,100,0.2162,False
2026-05-13,975,5.3867,True
2026-05-14,268,1.209,False
2026-05-15,46,-0.1029,False
2026-05-16,55,-0.0497,False
2026-05-17,52,-0.0674,False
2026-05-18,65,0.0094,False
2026-05-19,59,-0.0261,False
2026-05-20,88,0.1453,False
2026-05-21,96,0.1926,False
2026-05-22,123,0.3521,False
2026-05-23,513,2.6567,True
2026-05-24,1022,5.6644,True
