Id,Label,Community,Dominant_Emotion,In_Degree,Out_Degree,Total_Degree,Normalized_Degree,Betweenness_Centrality,PageRank,Closeness_Centrality,Communication_Role
ayyubi1127108,@ayyubi1127108,0,disgust,0,1,1,0.001031,0.0,0.000713,0.001375,Peripheral Citizen (Warganet Biasa)
Sekjebn,@Sekjebn,0,neutral,2,0,2,0.002062,2e-06,0.001925,0.002062,Secondary Influencer (Akun Penggerak)
azzundip,@azzundip,1,disgust,0,1,1,0.001031,0.0,0.000713,0.001031,Peripheral Citizen (Warganet Biasa)
cintamiyamin,@cintamiyamin,1,neutral,1,0,1,0.001031,0.0,0.001319,0.001031,Peripheral Citizen (Warganet Biasa)
hapycbyf,@hapycbyf,2,disgust,0,1,1,0.001031,0.0,0.000713,0.001031,Peripheral Citizen (Warganet Biasa)
spicygumbear,@spicygumbear,2,neutral,1,0,1,0.001031,0.0,0.001319,0.001031,Peripheral Citizen (Warganet Biasa)
Giziiii21,@Giziiii21,3,disgust,0,4,4,0.004124,1.3e-05,0.000713,0.004124,Information Broadcaster (Penyebar Wacana)
The911onABC,@The911onABC,3,neutral,1,0,1,0.001031,0.0,0.000864,0.002356,Peripheral Citizen (Warganet Biasa)
katrinrienks,@katrinrienks,4,disgust,0,1,1,0.001031,0.0,0.000713,0.001031,Peripheral Citizen (Warganet Biasa)
denni_sauya,@denni_sauya,4,neutral,1,0,1,0.001031,0.0,0.001319,0.001031,Peripheral Citizen (Warganet Biasa)
bangpoerslalu,@bangpoerslalu,15,disgust,0,2,2,0.002062,0.000185,0.000713,0.014922,Secondary Influencer (Akun Penggerak)
txtdrimedia,@txtdrimedia,15,disgust,1,0,1,0.001031,0.0,0.001016,0.012835,Peripheral Citizen (Warganet Biasa)
levelupyourss,@levelupyourss,6,disgust,0,1,1,0.001031,0.0,0.000713,0.001031,Peripheral Citizen (Warganet Biasa)
abbangz,@abbangz,6,neutral,1,0,1,0.001031,0.0,0.001319,0.001031,Peripheral Citizen (Warganet Biasa)
SussySusanti9,@SussySusanti9,7,disgust,0,2,2,0.002062,2e-06,0.000713,0.002062,Secondary Influencer (Akun Penggerak)
KaZep7,@KaZep7,7,neutral,1,0,1,0.001031,0.0,0.001016,0.001375,Peripheral Citizen (Warganet Biasa)
narkosun,@narkosun,7,disgust,1,0,1,0.001031,0.0,0.001016,0.001375,Peripheral Citizen (Warganet Biasa)
Casagrande10939,@Casagrande10939,8,disgust,0,10,10,0.010309,9.6e-05,0.000713,0.010309,Information Broadcaster (Penyebar Wacana)
