Emotion,precision,recall,f1-score,support
Marah,0.0,0.0,0.0,19.0
Jijik,0.5699899295065458,0.9691780821917808,0.7178186429930248,584.0
Takut,0.0,0.0,0.0,1.0
Percaya,0.6842105263157895,0.18660287081339713,0.2932330827067669,209.0
Netral,0.0,0.0,0.0,121.0
Sedih,0.0,0.0,0.0,3.0
Tertarik,0.0,0.0,0.0,116.0
accuracy,0.5745489078822412,0.5745489078822412,0.5745489078822412,0.5745489078822412
macro avg,0.17917149368890506,0.16511156471502542,0.14443596081425597,1053.0
weighted avg,0.4519222401061944,0.5745489078822412,0.4563075040775316,1053.0
