Id,Label,Degree,Betweenness,Community,Dominant_Emotion
ayyubi1127108,ayyubi1127108,0.0010309278350515464,0.0,0,disgust
Sekjebn,Sekjebn,0.002061855670103093,2.1278180290021598e-06,0,neutral
azzundip,azzundip,0.0010309278350515464,0.0,1,disgust
cintamiyamin,cintamiyamin,0.0010309278350515464,0.0,1,neutral
hapycbyf,hapycbyf,0.0010309278350515464,0.0,2,disgust
spicygumbear,spicygumbear,0.0010309278350515464,0.0,2,neutral
Giziiii21,Giziiii21,0.004123711340206186,1.2766908174012958e-05,3,disgust
The911onABC,The911onABC,0.0010309278350515464,0.0,3,neutral
katrinrienks,katrinrienks,0.0010309278350515464,0.0,4,disgust
denni_sauya,denni_sauya,0.0010309278350515464,0.0,4,neutral
bangpoerslalu,bangpoerslalu,0.002061855670103093,0.0001851201685231879,15,disgust
txtdrimedia,txtdrimedia,0.0010309278350515464,0.0,15,disgust
levelupyourss,levelupyourss,0.0010309278350515464,0.0,6,disgust
abbangz,abbangz,0.0010309278350515464,0.0,6,neutral
SussySusanti9,SussySusanti9,0.002061855670103093,2.1278180290021598e-06,7,disgust
KaZep7,KaZep7,0.0010309278350515464,0.0,7,neutral
narkosun,narkosun,0.0010309278350515464,0.0,7,disgust
Casagrande10939,Casagrande10939,0.010309278350515464,9.575181130509719e-05,8,disgust
SauloLinsFreir1,SauloLinsFreir1,0.0010309278350515464,0.0,8,neutral
misteriouspavao,misteriouspavao,0.0010309278350515464,0.0,8,neutral
HaileeNicole03,HaileeNicole03,0.0010309278350515464,0.0,3,neutral
RyliverUpdates,RyliverUpdates,0.0010309278350515464,0.0,3,neutral
DreamItFRR7,DreamItFRR7,0.0010309278350515464,0.0,3,neutral
pamcosta21,pamcosta21,0.0010309278350515464,0.0,8,neutral
lateniteyap,lateniteyap,0.0010309278350515464,0.0,9,disgust
tanyakanrl,tanyakanrl,0.005154639175257732,4.0428542551041034e-05,9,disgust
byryull,byryull,0.0010309278350515464,0.0,10,disgust
ryulmaniaz,ryulmaniaz,0.0010309278350515464,0.0,10,neutral
preman69691,preman69691,0.0010309278350515464,0.0,11,disgust
DudeRafay60339,DudeRafay60339,0.002061855670103093,2.1278180290021598e-06,11,neutral
junghwcan,junghwcan,0.0010309278350515464,0.0,12,disgust
minjeonug,minjeonug,0.0010309278350515464,0.0,12,neutral
DianRavi,DianRavi,0.0010309278350515464,0.0,13,disgust
kudanielbintik,kudanielbintik,0.0010309278350515464,0.0,13,disgust
TKawekas,TKawekas,0.002061855670103093,2.1278180290021598e-06,14,disgust
daryllno4h,daryllno4h,0.0010309278350515464,0.0,14,neutral
Verun_000,Verun_000,0.0010309278350515464,0.0,14,neutral
IDeph13,IDeph13,0.0010309278350515464,0.0,15,disgust
RaidenKevin17,RaidenKevin17,0.002061855670103093,0.0001851201685231879,15,disgust
camisa10sci,camisa10sci,0.0010309278350515464,0.0,8,neutral
Kell_cristineR,Kell_cristineR,0.0010309278350515464,0.0,8,neutral
anniestandersen,anniestandersen,0.0010309278350515464,0.0,8,neutral
BolsonaroSP,BolsonaroSP,0.0010309278350515464,0.0,8,neutral
TheInterceptBr,TheInterceptBr,0.0010309278350515464,0.0,8,neutral
4Y4NKZ,4Y4NKZ,0.016494845360824743,0.00016065026118966305,16,disgust
newIding30,newIding30,0.015463917525773196,9.681572031959827e-05,16,disgust
bonapasogit24,bonapasogit24,0.002061855670103093,0.0,16,neutral
trihhh14,trihhh14,0.002061855670103093,0.0,16,neutral
branjangankawat,branjangankawat,0.002061855670103093,0.0,16,neutral
tokaidirecycle,tokaidirecycle,0.002061855670103093,0.0,16,neutral
DestaMega27,DestaMega27,0.002061855670103093,0.0,16,neutral
wiyantokdr54,wiyantokdr54,0.002061855670103093,0.0,16,neutral
NusantaraJaya26,NusantaraJaya26,0.002061855670103093,0.0,16,neutral
YosAditya61,YosAditya61,0.002061855670103093,0.0,16,neutral
HafsaHerma41994,HafsaHerma41994,0.002061855670103093,0.0,16,neutral
mikuroQ,mikuroQ,0.002061855670103093,0.0,16,neutral
Asuka49043105,Asuka49043105,0.002061855670103093,0.0,16,neutral
fahmanSaja,fahmanSaja,0.002061855670103093,0.0,16,neutral
riyadisugeng167,riyadisugeng167,0.002061855670103093,0.0,16,neutral
Jediimar,Jediimar,0.002061855670103093,0.0,16,neutral
fanserine48,fanserine48,0.0010309278350515464,0.0,0,disgust
AsliDongo,AsliDongo,0.0010309278350515464,0.0,17,disgust
aimr0d,aimr0d,0.0010309278350515464,0.0,17,neutral
langitygbiru7,langitygbiru7,0.0010309278350515464,0.0,15,disgust
regar_op0sisi,regar_op0sisi,0.007216494845360825,0.0045641696722096324,15,disgust
JoniStrak01,JoniStrak01,0.0010309278350515464,0.0,15,disgust
citogog,citogog,0.0010309278350515464,0.0,18,disgust
Duren___,Duren___,0.0010309278350515464,0.0,18,neutral
naniesiahidayah,naniesiahidayah,0.0010309278350515464,0.0,19,disgust
avocadowaa,avocadowaa,0.0010309278350515464,0.0,19,neutral
Hendy74039,Hendy74039,0.0010309278350515464,0.0,20,disgust
LexMarteg,LexMarteg,0.0010309278350515464,0.0,20,neutral
888MBG,888MBG,0.0030927835051546395,6.383454087006479e-06,21,disgust
WesleyHuntTX,WesleyHuntTX,0.0010309278350515464,0.0,21,neutral
karimNoo12,karimNoo12,0.0010309278350515464,0.0,22,disgust
Y_CynthiaJKT48,Y_CynthiaJKT48,0.0010309278350515464,0.0,22,neutral
xquitavee,xquitavee,0.002061855670103093,0.0003659847009883715,15,disgust
Khuhua,Khuhua,0.0010309278350515464,0.0,23,disgust
SpacesFolios,SpacesFolios,0.002061855670103093,2.1278180290021598e-06,23,neutral
Profokiev,Profokiev,0.0010309278350515464,0.0,24,disgust
zenitrova,zenitrova,0.0010309278350515464,0.0,24,neutral
RekjanS,RekjanS,0.0010309278350515464,0.0,25,disgust
FayaAtika,FayaAtika,0.0010309278350515464,0.0,25,neutral
anindyabelle,anindyabelle,0.0010309278350515464,0.0,26,disgust
danskuss,danskuss,0.002061855670103093,2.1278180290021598e-06,26,neutral
asbackretack,asbackretack,0.0010309278350515464,0.0,27,disgust
Makaryo0,Makaryo0,0.0030927835051546395,1.7022544232017278e-05,27,disgust
sijidw,sijidw,0.002061855670103093,8.511272116008639e-06,27,disgust
rizalxharun,rizalxharun,0.0010309278350515464,0.0,27,neutral
menbrrr,menbrrr,0.0010309278350515464,0.0,28,disgust
fiif_ardani,fiif_ardani,0.0010309278350515464,0.0,28,neutral
_Nikolicious,_Nikolicious,0.0010309278350515464,0.0,29,disgust
xongra56latione,xongra56latione,0.0010309278350515464,0.0,29,neutral
sabtudepan,sabtudepan,0.0010309278350515464,0.0,30,disgust
xAvellesch,xAvellesch,0.0010309278350515464,0.0,30,neutral
ziyaay111226212,ziyaay111226212,0.0010309278350515464,0.0,31,disgust
Sarangkusayang,Sarangkusayang,0.0010309278350515464,0.0,31,neutral
canmenita,canmenita,0.0010309278350515464,0.0,32,disgust
kuyngnim,kuyngnim,0.0010309278350515464,0.0,32,neutral
040Fitri84093,040Fitri84093,0.002061855670103093,2.1278180290021598e-06,33,disgust
alwaysNanAd_,alwaysNanAd_,0.0010309278350515464,0.0,33,neutral
zynjinie_,zynjinie_,0.0010309278350515464,0.0,33,disgust
jjuberockin,jjuberockin,0.0010309278350515464,0.0,34,disgust
xxaegle,xxaegle,0.0010309278350515464,0.0,34,neutral
punishe98373138,punishe98373138,0.007216494845360825,0.0011564690987626739,15,disgust
prabowo,prabowo,0.015463917525773196,0.005413169065781495,15,neutral
DPR_RI,DPR_RI,0.0010309278350515464,0.0,15,neutral
MPR,MPR,0.0010309278350515464,0.0,15,neutral
Gerindra,Gerindra,0.0010309278350515464,0.0,15,neutral
sjafriesjams,sjafriesjams,0.002061855670103093,4.4684178609045354e-05,15,neutral
bang_dasco,bang_dasco,0.0010309278350515464,0.0,15,neutral
AriFleischer,AriFleischer,0.0010309278350515464,0.0,21,neutral
igt_hast2prast,igt_hast2prast,0.0010309278350515464,0.0,35,disgust
otaknyakonslet,otaknyakonslet,0.0010309278350515464,0.0,35,neutral
Leifisherman,Leifisherman,0.0010309278350515464,0.0,36,disgust
Hidupsebagai62,Hidupsebagai62,0.0010309278350515464,0.0,36,neutral
ctrlaltdel_77,ctrlaltdel_77,0.004123711340206186,1.2766908174012958e-05,37,disgust
naiotnayrad,naiotnayrad,0.0010309278350515464,0.0,37,neutral
geofisi21994,geofisi21994,0.0010309278350515464,0.0,37,neutral
pamboodi,pamboodi,0.0010309278350515464,0.0,37,neutral
Gate_76,Gate_76,0.0010309278350515464,0.0,37,neutral
jeymire_,jeymire_,0.0010309278350515464,0.0,38,disgust
jahrarubyjaraa,jahrarubyjaraa,0.0010309278350515464,0.0,38,neutral
EricLDaugh,EricLDaugh,0.0010309278350515464,0.0,21,neutral
EpicRifqi,EpicRifqi,0.0010309278350515464,0.0,39,disgust
kompascom,kompascom,0.0010309278350515464,0.0,39,disgust
Xint_elvira05,Xint_elvira05,0.0010309278350515464,0.0,40,love
vespamatic96,vespamatic96,0.0010309278350515464,0.0,40,neutral
Ryan_Ramirez,Ryan_Ramirez,0.0010309278350515464,0.0,41,disgust
MiskinTV_,MiskinTV_,0.0010309278350515464,0.0,41,disgust
Yurifications_,Yurifications_,0.0010309278350515464,0.0,42,disgust
Aqua_Tako,Aqua_Tako,0.0010309278350515464,0.0,42,neutral
AvocadomiL,AvocadomiL,0.0010309278350515464,0.0,43,disgust
cozyaltruis,cozyaltruis,0.0010309278350515464,0.0,43,disgust
MuhamadNasir_79,MuhamadNasir_79,0.0010309278350515464,0.0,15,disgust
oelmaoel,oelmaoel,0.002061855670103093,1.06390901450108e-05,44,disgust
A_LuluJKT48,A_LuluJKT48,0.0010309278350515464,0.0,44,neutral
Aho_Serval,Aho_Serval,0.0010309278350515464,0.0,45,disgust
Nessss_02,Nessss_02,0.0010309278350515464,0.0,45,disgust
Rhym03,Rhym03,0.002061855670103093,0.0003659847009883715,15,disgust
Jelli_cent,Jelli_cent,0.002061855670103093,0.0001851201685231879,15,disgust
jseongnara29,jseongnara29,0.002061855670103093,2.1278180290021598e-06,46,disgust
lheeseungily_,lheeseungily_,0.0010309278350515464,0.0,46,neutral
lopjaywon,lopjaywon,0.0010309278350515464,0.0,46,neutral
bicepsmingyu,bicepsmingyu,0.0010309278350515464,0.0,47,disgust
wondunge,wondunge,0.002061855670103093,4.2556360580043196e-06,47,neutral
deelicato,deelicato,0.002061855670103093,6.383454087006479e-06,48,disgust
hunter_tnok,hunter_tnok,0.002061855670103093,8.511272116008639e-06,48,neutral
Jefferyyyyy,Jefferyyyyy,0.0010309278350515464,0.0,48,neutral
zellechao,zellechao,0.0010309278350515464,0.0,49,disgust
rsloav,rsloav,0.0010309278350515464,0.0,49,neutral
4ssahongsam,4ssahongsam,0.0010309278350515464,0.0,50,disgust
13_iwaN,13_iwaN,0.0010309278350515464,0.0,50,neutral
aksukadiskon,aksukadiskon,0.0010309278350515464,0.0,51,disgust
kimmyexp,kimmyexp,0.0010309278350515464,0.0,51,disgust
moonlyheeesunie,moonlyheeesunie,0.002061855670103093,2.1278180290021598e-06,52,disgust
_ikkeunapp,_ikkeunapp,0.0010309278350515464,0.0,52,neutral
Byll_Upg,Byll_Upg,0.0010309278350515464,0.0,53,disgust
BarisanPemudaRI,BarisanPemudaRI,0.0010309278350515464,0.0,53,neutral
C_OnielJKT48,C_OnielJKT48,0.002061855670103093,1.7022544232017278e-05,44,neutral
IOS_GrizlyWolf,IOS_GrizlyWolf,0.0010309278350515464,0.0,26,disgust
baymax911,baymax911,0.0010309278350515464,0.0,54,disgust
neesannisaa,neesannisaa,0.0010309278350515464,0.0,54,neutral
kelambang,kelambang,0.0010309278350515464,0.0,55,disgust
SobatUwu,SobatUwu,0.0010309278350515464,0.0,55,neutral
multibank_io,multibank_io,0.005154639175257732,3.830072452203888e-05,56,disgust
teedubya,teedubya,0.0010309278350515464,0.0,56,neutral
Zak_mbg,Zak_mbg,0.0010309278350515464,0.0,56,neutral
mbgtoken,mbgtoken,0.0030927835051546395,2.340599831902376e-05,56,disgust
Bitpanda,Bitpanda,0.0010309278350515464,0.0,56,neutral
MultiBankGroup,MultiBankGroup,0.0010309278350515464,0.0,56,neutral
juraganasset,juraganasset,0.0010309278350515464,0.0,15,disgust
MBGtoken,MBGtoken,0.0010309278350515464,0.0,56,neutral
EvoXHQ,EvoXHQ,0.0010309278350515464,0.0,57,disgust
pon_beer_mbg,pon_beer_mbg,0.0010309278350515464,0.0,57,neutral
bbiiyaya,bbiiyaya,0.004123711340206186,0.0005489770514825572,15,disgust
kemenkeu,kemenkeu,0.0010309278350515464,0.0,15,neutral
bpkri,bpkri,0.0010309278350515464,0.0,15,neutral
KejaksaanRI,KejaksaanRI,0.0010309278350515464,0.0,15,neutral
0dicta,0dicta,0.0010309278350515464,0.0,58,disgust
LambeSahamjja,LambeSahamjja,0.004123711340206186,1.2766908174012958e-05,58,disgust
Rooseno16,Rooseno16,0.002061855670103093,4.2556360580043196e-06,59,disgust
jeanhanji,jeanhanji,0.0010309278350515464,0.0,59,neutral
